pid,rating,quantity_sales
327098,4.9,13400
311178,4.9,23500
334442,4.9,3200
335362,4.9,4200
337470,5.0,2200
336967,5.0,1300
321192,4.9,13400
338207,5.0,1700
334792,5.0,3000
334450,4.9,1400
333427,5.0,1400
326124,4.9,2200
289472,4.9,8300
334803,5.0,1200
335556,4.9,1000
338323,5.0,814
326050,5.0,9000
334996,5.0,1600
331362,5.0,656
325500,4.9,5600
340564,5.0,528
338311,5.0,1100
323920,4.9,10600
334997,4.9,1900
335372,5.0,509
326279,4.9,1000
310449,4.9,2100
340486,5.0,951
334446,5.0,1300
339679,5.0,668
333430,4.9,1800
328235,4.9,2400
321467,5.0,3600
337233,5.0,1000
328237,4.9,4200
337420,5.0,893
334999,5.0,694
338204,4.9,291
329786,5.0,401
341563,5.0,63
326830,5.0,2000
339683,5.0,558
333886,4.9,5300
332365,4.9,2700
333104,5.0,1800
311176,4.9,5700
341612,5.0,51
343120,,2
335554,5.0,683
325247,4.9,2400
325691,4.9,3900
328238,4.9,2100
338206,5.0,457
327872,5.0,1300
337476,5.0,1000
326049,4.9,6000
331564,5.0,1500
326122,4.9,967
343121,5.0,7
339687,5.0,326
338278,5.0,467
338324,5.0,316
337474,5.0,839
311177,4.9,2200
322072,4.9,5300
328906,4.9,3300
310447,4.9,713
343122,5.0,6
339681,5.0,383
340560,5.0,386
341270,5.0,388
330162,4.9,1600
338318,5.0,425
318163,4.9,4000
339857,5.0,346
335553,5.0,611
328814,5.0,4200
327707,5.0,689
331566,5.0,93
341607,5.0,5
327050,5.0,3500
340559,5.0,258
336036,5.0,1000
325697,5.0,727
334998,5.0,295
328949,4.9,1400
337042,5.0,360
326831,5.0,890
327097,4.9,1200
335555,5.0,456
333103,5.0,1100
341602,5.0,55
330932,4.9,546
334689,5.0,133
338316,5.0,285
341618,5.0,231
338322,5.0,398
333102,5.0,1000
334794,5.0,818
339202,5.0,487
322222,4.9,3700
340479,5.0,205
334449,5.0,509
339587,5.0,169
331568,5.0,705
326861,4.9,2400
337044,5.0,306
339581,5.0,181
337472,5.0,161
340491,5.0,278
322270,4.9,7500
338320,5.0,248
313177,4.9,1400
340484,5.0,140
314630,4.9,6300
337475,5.0,281
340004,5.0,18
340558,5.0,241
334795,5.0,853
327896,5.0,489
340478,5.0,160
337473,5.0,309
333421,4.9,412
332578,4.9,2200
340481,5.0,97
322073,4.9,2500
340487,5.0,63
332450,5.0,110
308697,4.9,1000
317704,4.9,3800
325479,4.9,1400
333105,4.9,1900
337469,5.0,397
337041,5.0,143
333423,4.9,787
341604,5.0,64
313974,4.9,552
339656,5.0,32
332370,5.0,84
314849,4.9,1500
334440,5.0,355
342469,5.0,202
327977,4.9,2000
330578,4.9,731
337043,5.0,88
319657,5.0,966
325953,5.0,1100
331506,4.9,413
333424,5.0,321
326641,4.9,470
339652,5.0,34
322100,4.9,197
329853,5.0,2200
327898,5.0,660
341568,5.0,81
310839,4.9,4000
340483,5.0,79
338312,5.0,128
339201,5.0,43
325699,4.9,1400
339653,5.0,16
329736,5.0,81
339265,5.0,66
327710,5.0,523
340565,5.0,130
340562,5.0,112
325477,4.9,7800
342526,5.0,24
323325,4.9,1800
329852,5.0,313
333425,5.0,145
339655,5.0,35
302209,4.9,1800
338000,5.0,17
309375,4.9,5300
335170,5.0,582
325244,5.0,744
328443,5.0,343
338279,5.0,46
304543,4.9,2700
332368,5.0,79
326637,4.9,3300
329429,5.0,252
328474,5.0,1100
328483,4.9,433
316941,4.9,1200
317712,4.9,6800
340561,5.0,66
338317,5.0,88
333094,5.0,208
323335,5.0,475
272282,4.9,1500
313973,4.9,437
321436,4.9,4400
329112,5.0,55
336968,5.0,4
339616,5.0,4
329787,5.0,42
337471,5.0,194
336031,5.0,169
335171,5.0,220
333872,5.0,98
326876,5.0,3100
337843,5.0,17
327506,4.9,641
328815,5.0,287
333197,,2
339952,5.0,6
313627,4.9,3700
339688,5.0,70
331508,5.0,461
333107,5.0,481
339684,5.0,29
338208,5.0,63
327406,5.0,262
327507,4.9,407
341626,5.0,11
341603,5.0,5
328130,5.0,85
339954,5.0,9
326558,5.0,115
337842,5.0,79
338315,5.0,135
328951,5.0,528
327409,4.9,346
328950,5.0,530
327981,4.9,1700
341267,5.0,30
318354,5.0,262
325586,5.0,91
338280,5.0,22
335549,5.0,40
325051,5.0,91
339686,5.0,48
328946,5.0,1300
331526,5.0,59
302533,4.9,3500
325480,4.9,1100
328473,4.9,1800
328947,5.0,468
327508,5.0,769
342514,,2
325588,5.0,25
329867,5.0,294
322098,5.0,4
339953,5.0,21
339211,5.0,38
329858,4.9,2700
331527,4.9,103
309565,4.9,4700
333098,5.0,146
327901,5.0,149
327900,5.0,225
326194,4.9,2500
339661,,2
313332,4.9,2100
339647,5.0,4
332397,5.0,7
328945,5.0,883
312414,4.9,10700
327899,5.0,582
342501,5.0,7
333873,5.0,30
322003,5.0,438
335550,5.0,5
340006,,2
335832,5.0,12
339680,5.0,72
341266,5.0,19
334800,5.0,77
339212,5.0,30
339690,5.0,29
337237,5.0,3
322959,5.0,74
334796,5.0,180
341623,5.0,22
326148,4.9,1100
333099,5.0,54
337242,,1
326280,5.0,25
332579,5.0,39
341750,,2
338321,5.0,43
335172,5.0,46
326059,5.0,207
329337,4.9,889
329789,5.0,51
323585,5.0,3
341608,5.0,4
317709,4.9,2900
334799,5.0,76
326824,5.0,236
335020,,1
339659,,2
341751,,2
339685,5.0,20
311145,5.0,670
315892,4.9,787
327408,5.0,122
334444,5.0,5
339648,,2
341611,,1
321468,5.0,640
322099,5.0,22
330165,5.0,340
334798,5.0,10
315911,5.0,460
341752,,1
337241,5.0,4
339658,5.0,3
320431,4.9,1300
327974,5.0,1300
325002,5.0,55
339662,,1
337841,,
342752,5.0,10
326864,5.0,78
334802,5.0,109
335835,5.0,8
339234,5.0,6
337236,,
339951,,
327509,5.0,1400
334805,5.0,222
322269,4.9,3200
335551,,
338313,5.0,27
342758,5.0,3
330579,5.0,71
334806,5.0,9
341609,,2
339541,,2
325242,5.0,8900
311117,4.9,963
339542,,
339682,5.0,24
327982,4.9,1200
328239,4.9,669
341610,,2
320434,4.9,957
339650,,1
340563,5.0,22
341564,5.0,22
309243,4.9,1100
325583,5.0,26
339660,,
329851,5.0,101
334797,5.0,51
335181,5.0,41
340488,,
339689,5.0,14
342495,,1
325575,,1
342497,,1
341566,5.0,8
332350,,
332352,,
341565,5.0,4
335010,,
341567,,2
335112,,
335113,,1
342756,5.0,90
342024,5.0,140
231244,4.9,14000
342942,5.0,7
342755,5.0,4
342507,5.0,3
341621,5.0,7
342519,5.0,4
342941,5.0,3
328599,5.0,64
332451,5.0,29
335366,4.9,104
341622,,2
305009,4.9,1700
331523,,3
331567,5.0,6
335369,5.0,16
339558,,2
341613,5.0,3
328598,5.0,51
331522,5.0,4
332448,5.0,206
334694,5.0,3
337040,,1
337844,,1
339235,,2
339236,5.0,4
341269,,1
342505,,1
284343,4.9,414
332274,,
335015,,
335963,,
335964,,1
341268,,
341572,,
341573,,
342504,,
342508,,
342517,,
342523,,
342721,,
342725,,
